,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A09,FAM,,Unkn,,,18.5820988771935,18.5820988771935,0,NaN,NaN,NaN,0,58,
,A10,FAM,,Unkn,,,18.3789220606571,18.3789220606571,0,NaN,NaN,NaN,0,58,
,A11,FAM,,Unkn,,,18.2636608908659,18.2636608908659,0,NaN,NaN,NaN,0,58,
,A12,FAM,,Unkn,,,18.5856034352119,18.5856034352119,0,NaN,NaN,NaN,0,58,
,B01,FAM,,Unkn,,,18.3336620173471,18.3336620173471,0,NaN,NaN,NaN,0,58,
,B02,FAM,,Unkn,,,18.3053068406794,18.3053068406794,0,NaN,NaN,NaN,0,58,
,B03,FAM,,Unkn,,,18.162189676578,18.162189676578,0,NaN,NaN,NaN,0,58,
,B04,FAM,,Unkn,,,18.2190563641134,18.2190563641134,0,NaN,NaN,NaN,0,58,
,B05,FAM,,Unkn,,,18.23138826768,18.23138826768,0,NaN,NaN,NaN,0,58,
,B06,FAM,,Unkn,,,18.0866764857118,18.0866764857118,0,NaN,NaN,NaN,0,58,
,B07,FAM,,Unkn,,,18.1048723005884,18.1048723005884,0,NaN,NaN,NaN,0,58,
,B08,FAM,,Unkn,,,18.0403159540254,18.0403159540254,0,NaN,NaN,NaN,0,58,
,B09,FAM,,Unkn,,,18.1785322014773,18.1785322014773,0,NaN,NaN,NaN,0,58,
,B10,FAM,,Unkn,,,17.9849878024502,17.9849878024502,0,NaN,NaN,NaN,0,58,
,B11,FAM,,Unkn,,,18.1775408532829,18.1775408532829,0,NaN,NaN,NaN,0,58,
,B12,FAM,,Unkn,,,18.4536192809394,18.4536192809394,0,NaN,NaN,NaN,0,58,
,C01,FAM,,Unkn,,,18.0101521814935,18.0101521814935,0,NaN,NaN,NaN,0,58,
,C02,FAM,,Unkn,,,17.945327857261,17.945327857261,0,NaN,NaN,NaN,0,58,
,C03,FAM,,Unkn,,,18.009744623077,18.009744623077,0,NaN,NaN,NaN,0,58,
,C04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C05,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C06,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
