Well informaton is the same for figure 3 A and B ,
,
Well,Condition
A1-A9,cox
"A10-12,B1-6",cox/hlb
"B7-12,C1-3",cox/hlb+TA
C4-C12,mdh
D1-9,mdh/hlb
"D10-12, E1-6",mdh/hlb+TA
"E7-12, F1-3",shkX
F4-12,shkX/hlb
G1-9,shkx/hlb+TA
"G10-12, H1-6",hlb
