,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B02,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B03,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B04,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B05,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B06,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B07,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B08,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B09,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B10,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B11,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B12,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C01,Cy5,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C02,Cy5,,Unkn,,,24.5699113520815,24.5699113520815,0,NaN,NaN,NaN,0,58,
,C03,Cy5,,Unkn,,,24.0430315022573,24.0430315022573,0,NaN,NaN,NaN,0,58,
,C04,Cy5,,Unkn,,,24.5574019642995,24.5574019642995,0,NaN,NaN,NaN,0,58,
,C05,Cy5,,Unkn,,,23.855919087631,23.855919087631,0,NaN,NaN,NaN,0,58,
,C06,Cy5,,Unkn,,,23.4368159643747,23.4368159643747,0,NaN,NaN,NaN,0,58,
,C07,Cy5,,Unkn,,,24.7117067816642,24.7117067816642,0,NaN,NaN,NaN,0,58,
,C08,Cy5,,Unkn,,,24.5407187846397,24.5407187846397,0,NaN,NaN,NaN,0,58,
,C09,Cy5,,Unkn,,,24.4071044945697,24.4071044945697,0,NaN,NaN,NaN,0,58,
,C10,Cy5,,Unkn,,,25.1222848549664,25.1222848549664,0,NaN,NaN,NaN,0,58,
,C11,Cy5,,Unkn,,,24.4944975676636,24.4944975676636,0,NaN,NaN,NaN,0,58,
,C12,Cy5,,Unkn,,,25.2600096131496,25.2600096131496,0,NaN,NaN,NaN,0,58,
,D01,Cy5,,Unkn,,,25.3078045667718,25.3078045667718,0,NaN,NaN,NaN,0,58,
,D02,Cy5,,Unkn,,,25.0132295917833,25.0132295917833,0,NaN,NaN,NaN,0,58,
,D03,Cy5,,Unkn,,,25.1647473604734,25.1647473604734,0,NaN,NaN,NaN,0,58,
,D04,Cy5,,Unkn,,,25.077672010932,25.077672010932,0,NaN,NaN,NaN,0,58,
,D05,Cy5,,Unkn,,,25.3047776105217,25.3047776105217,0,NaN,NaN,NaN,0,58,
,D06,Cy5,,Unkn,,,25.3183805877778,25.3183805877778,0,NaN,NaN,NaN,0,58,
,D07,Cy5,,Unkn,,,25.4338309396391,25.4338309396391,0,NaN,NaN,NaN,0,58,
,D08,Cy5,,Unkn,,,25.0582345027193,25.0582345027193,0,NaN,NaN,NaN,0,58,
,D09,Cy5,,Unkn,,,25.2255448361378,25.2255448361378,0,NaN,NaN,NaN,0,58,
,D10,Cy5,,Unkn,,,25.7199421820323,25.7199421820323,0,NaN,NaN,NaN,0,58,
