,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-5.02656128046101,4.18735316878838,5.99286287292398,4.9028465930819,5.09849279256514,8.20377354424454,2.41764220966161,11.0398789874034,-4.89052385207651,-9.84958999745731,-16.7204815749642,-25.7042510826304,-6.49092537935212,2.48881724290868,0.704425213774357,-0.217709486496915,1.36138955211072,-0.778208905580414,-8.80836143299439,-11.8375962287801,-2.591382783462,-5.74337597831254,-7.09190309177029,-14.7462843355047,-16.1683665174105,-11.1559534778044,-5.1079233828209,-4.84352475467904,-8.64838036863875,-11.0791423568839,-13.2079944162383,-11.175353544987,-10.6533517390758,-11.8842423585897,-9.08743642488434,-11.7158083325803,-0.780999429925032,0.46067453432579,-3.72289709083088,-14.3708405854782,-14.1705306197946,-18.4618173365225,-21.3909960700034,-15.5629417710543,-12.9645010697732,-10.8292971074175,-7.34803047254763,-9.56422451136723,-5.79556552887698,-3.71742114175504,36.7783889830021,31.7829287473787,21.7360977410199,7.15358774925653,-12.7019631960402,-0.258498821705871,14.3711742816081,4.31743614176958,19.3503019236846,25.3834528416019,39.241509051521,52.0556118010763,28.0223528951478,36.5491191817359,20.9380973868274,-0.456236117832304,8.24442374573664,10.232812178996,3.04360610165259,7.47344001666397,0.133399186521274,13.1872904632542,35.5046091687873,24.9331910110154,11.3209347055849,3.84177955416772,0.624320894895845,-0.532998755171775,-5.82917528765893,-5.6806379523764,-8.03408656206602,-8.63655143298092,-14.0852278833672,-8.60850595787588,-5.89831630044364,36.3327715255882,30.5351643435397,39.2193300425201,37.6530988708073,31.5877443190443,-17.2061377422319,-12.1712579635064,-15.5315433297401,-9.02581332448563,-2.8878648673267,-20.0947052250021
,2,5.51166321550454,8.86007871877246,7.53926339103964,3.18403653689529,9.09072110848683,9.4176913591682,0.448708260444164,8.60781480516243,-0.283560428917099,-3.29019064614522,-9.71870865012852,-20.1637852442946,-3.47419540250758,-1.01211487167984,-1.40803279487955,-2.9043944593318,2.68145205655446,-1.89154200590247,-9.48795563081876,-14.7022766879827,-5.24356677883361,-9.39911679554007,-11.7981210481175,-10.4749764715816,-4.08352096405815,-3.0584875298664,-0.189516291235577,-2.8878932217176,-3.83332662337853,-8.7172060949938,-9.86991160422986,-13.0759256041833,-4.32079794101764,-4.0502500916491,-4.58915848884953,-6.6160314637259,-0.799293074372599,0.744295262228661,-4.06409698495099,-9.94603161974828,-8.10746595291539,-8.77050317534804,-12.815189204076,-8.46288532787776,-10.1991383640316,-1.64133561229892,-5.01577183037716,-10.6410799780506,-3.53886513164298,-3.40574658125797,25.0506145241529,16.8251404840535,10.5947730277439,9.40645642621212,8.2848528372142,3.17205063100664,14.5221408118664,2.94287263916976,9.33066710014418,21.8550050915364,21.6523660706894,26.6309644912294,16.2831885049968,13.7783570766619,14.0120589986186,8.34479340280495,3.1129550292535,4.19736425594556,14.2125367821945,10.4836211918414,0.584892572182071,10.0780425243752,20.7999761020478,16.8564640576328,11.7141734500133,1.55627104839141,0.938751014471109,1.29689757728647,1.3876050727863,-5.19386941373932,-6.04904157310784,-2.8652823036382,-6.21932570425179,-7.50108866947494,-5.17128748544974,22.1929176438821,18.6869415125329,25.8375535124828,23.1340346137417,14.8396648538383,-10.2296250445211,-13.025558251049,-13.6234093474545,-8.29200669314514,-2.92131546679548,-16.2870954176574
,3,-6.31336978865193,-0.897665111219339,0.879550345226562,1.57500112603657,-0.344399579930268,6.77436298934481,0.467231424852798,3.14234638926609,0.324816210115841,-0.0926697346985748,-4.5254563373951,-3.47685371031184,-1.49163644855389,-0.919914892983343,1.91642641108774,-4.37029112912705,1.16151696228326,1.36026853184831,-4.12757838245579,-2.29681962173754,1.11988675153498,-2.15365670266419,1.39424590062163,-3.06633921106595,-1.14057334791778,-4.61953854195508,-3.43344079527333,-7.03168440719128,-4.8883113060233,-3.05091335059342,-7.67053565062042,-8.25478869411518,-3.24952460588565,-2.4326127983968,-3.04467805622244,-4.91016660381047,-0.190361083439711,-1.75914400791407,-3.39452178164356,-9.90066424483257,-3.78019712321884,-5.83669195975199,-8.93209358379954,-4.60700480528021,-7.01846650673724,-6.3909731147487,-6.1614941627895,-7.76195028028314,-3.51861386337123,-5.20697506257056,3.1170006497855,5.66853343408593,5.19916782403243,5.89974948345389,2.17682384414866,1.0461150901574,11.0999807908265,3.56154905950007,11.488916499381,9.40756338832534,18.4389873383134,15.9185322732405,10.5737837900488,12.6614775588314,5.24789662705825,6.57352540674765,9.08098321609123,3.86062829973071,7.02465422482146,6.47905364484268,3.17701306996059,7.85655252144625,16.0965585626736,12.2993166601377,-0.267217325762886,-0.760669198537471,1.38128295830802,2.80419559904749,-5.21846973501806,-2.5346520639705,-2.74999810607278,-2.93874793572286,-6.06812916318449,0.998415064289929,0.337311365707592,10.1748887425501,11.4908469528486,11.7947291447053,11.9809652993677,9.45868747603345,-8.77077088625674,-6.1580559303311,-13.4204188402846,-3.18426580974301,0.0568286250854726,-12.2247597118817
,4,-3.69220470706432,-2.8551450261798,-0.559126641627245,0.184677077814285,2.13746639094097,1.44642458594308,0.454239250798764,-1.13847530512794,0.173430194431148,-0.0772394752893888,-1.88162296009386,-5.83098968978766,-1.72254733975524,-1.7189703065751,0.889732666297732,-2.04816832332381,1.7008286832247,3.3843446122637,-2.88054445297394,-3.10673404109139,-0.0241881290362471,-4.04351267610764,-0.48223933029476,-2.09731798779239,-7.16782744659849,-7.58949136346291,-2.52275858861185,-3.07260304133342,-3.32644285888955,-5.82210393155265,-3.48132762327396,-4.08153022665965,-7.07739185108539,-2.40170515273394,-3.71026899209073,-5.36401493196945,0.513868040892703,-2.80494037471453,-2.97227253501705,-8.58992451408494,-4.89190904683983,-1.98981641962291,-4.74093697890248,-6.57771468084457,-6.74046155400038,-5.46291096464302,-3.14498374424556,-3.27426444875709,-2.89318197650482,-4.5005130315576,3.33281526846804,7.37918307255222,7.48465470854262,5.01651053226033,5.872339205358,9.85616762350764,2.31535268554308,6.18568521300313,7.07887502575204,0.517581168435754,7.2203555168262,8.09733526365972,5.99671529322086,6.10162469050647,8.52363776223183,4.4778500359721,6.0980880570869,5.31992272098523,7.7428913165777,9.88183715675814,5.76392269400321,0.887881130652659,8.39058453884263,6.68275457803702,-2.3301525296697,2.21068221665155,4.99473542325904,2.03262489374902,0.631468041689914,-0.244789973574825,-2.59861168842826,-2.14557438056772,-3.36306345804542,-3.85473867276414,-4.35748486801231,2.53841600199257,1.27867800293416,3.69576916370352,0.592155366057341,1.59747520353812,-5.49627274328532,-9.33240966888798,-6.95266851979932,-4.77423593273943,-5.22214933529585,-10.7590991392572
,5,-2.86885379046271,6.16611163297739,0.0554390983484154,-0.61787410185616,3.58264458707708,5.69431818110797,1.88882623533846,-0.387181868120479,4.67154439069964,0.541391604662749,-0.816057578694199,-5.21180129766026,0.621781060243848,4.63469222665799,2.13730749874685,3.51341932264086,4.29293820581324,2.92650280897897,2.51322545208677,3.769572259906,5.75807635893125,1.72340974933604,3.22889984210997,-2.3874493036883,-1.79278804180512,-2.20453239734934,1.20787299592848,-1.68334485614241,0.0653399510274539,0.128456599117726,-0.682345182535755,-0.727724656896953,0.929035519674471,-2.5656932030256,-2.51222911016657,-2.77697861857951,-8.12203924598361,-1.21570273351017,-1.27406253982554,-4.78186446194331,-5.0859836825407,-3.88414480447227,-2.09010314751185,-4.61217960333761,-4.27798481164928,-6.11856320545166,-4.20882837651243,-6.37158764634614,-3.09051923845254,-2.02670696312089,5.15189556844234,2.92348870020123,0.266331544954937,3.74743196788131,2.37981237873328,2.55384272236552,0.188455317412718,3.88174420413588,1.81879389496771,4.99598860670267,1.47042761365583,-1.14975783618729,1.06725093234718,3.27209918252902,2.01988013844584,1.72775788307399,2.74342866870848,1.52590526436097,1.38833845640056,5.18317730991384,2.84346683513513,3.45229692591101,2.06774921046917,-1.50370604777709,5.42324988587325,-0.597554123975442,-1.15556499672857,-0.419653114076482,2.25539902109585,-3.8510403674527,2.67709597693784,-2.53698362264413,0.294969401393701,-2.79680124803917,-5.68328910254922,-1.11127347285537,-0.0763406044807198,-1.01999691282617,-2.32695407111487,2.80429613385604,-9.19810074664838,-8.49553957089256,-1.45806274334382,-6.73520934018734,-5.24598151218424,-11.383840538133
,6,-3.37731388038901,1.52013076778985,1.96499360923963,1.52999061039236,1.24427471251556,2.47121094644353,-1.84648943717775,2.92339646307664,2.10004782513215,0.786507908277144,-0.112609958739995,-3.45301080153376,-1.50569742088874,3.95176500594062,-3.06711901926928,1.10558051201497,-0.841095386269899,-0.774962618214431,0.692688497295421,-3.67194538913873,-0.893247890044222,-3.17092083124817,-0.516387141204177,-0.402440655322152,-0.422667089008428,-2.95489424927064,-1.49371868949629,1.82610399702526,2.62357069413201,0.722973824391374,1.04709533002097,-0.354602084264116,0.720723459823148,2.53867994106531,0.357447310332645,1.49403128926497,-0.768293018923941,2.26474302785118,4.2034300785599,0.474287132936297,-1.09579944244115,-1.27830825633646,-3.9749407365116,2.59999352351224,-2.90150843967422,4.77973036876438,1.9022403141189,-3.44902690351591,-3.00888341559585,0.673344927104608,5.47115238568813,4.86694352287077,6.97760007318902,0.00136507570414324,2.56611083819007,6.38633139743661,2.31692203893681,4.70500125386798,1.57321041132718,0.584906239309021,0.505442656112791,3.45120540370499,2.48544838943144,3.03905639519962,1.88415368736378,3.83136385114176,4.06577619455675,6.04146678504321,0.831913512889514,3.5252311507561,1.41544580447589,3.26663298340191,-1.82750941577251,-1.50169980919418,2.8681891093147,3.94167446590609,2.89087738231365,0.202406183370385,-1.37799516100722,0.58714968639697,-0.898977375189588,0.499768948201108,-2.08757959328932,-1.66803637370776,-6.86193452686121,-2.61664789143788,-6.17207546813188,-5.13012840063357,-2.32460272759863,-2.29553531106103,-1.90974750657051,-5.09504862269705,1.10727166134257,-2.25002499709126,-0.389553119052835,-3.31105128642093
,7,-0.336086272305238,-2.17968695144964,-0.585604615165266,0.805330356457944,1.23147456778497,-1.20938936962193,-0.0970097619565422,1.80137210636212,1.53051688049845,1.21113637610461,-0.356291451025754,0.467088574609988,-0.0758518351544808,-1.92545528688333,-3.16047439359227,-0.875538420418252,0.563272915240304,1.20463460659175,-1.46854391559282,-0.868284069143101,-3.83609698569899,-1.82853965065215,-0.285378199381285,-2.87086422996936,-1.08024332080504,-3.65416461370887,-4.41298413789309,-1.45399838858384,0.667972086264399,-0.285510576956312,-3.65692611478471,-1.67707280761351,1.21426781854552,1.27703335292881,2.12009979478762,-0.765807453156413,-2.80175622245906,0.296200652433072,-3.36129049494457,-1.68844885970702,-2.0465369729809,-3.40500789548105,1.09499744254981,-0.078743587898316,-3.41061018999744,-2.81094936314639,0.0608946883498902,0.250747289879655,-2.67300564287689,1.01554724385051,3.09944876425425,0.702555483148899,0.758471181243749,5.4512211731726,4.30709050403038,-1.34979611578001,0.478196989355638,4.63046555903929,-0.339766388476619,1.78378612522101,0.137523167419204,-1.99306097211411,3.63929963745159,-2.40843417999486,6.12678878378711,2.59058066754642,0.294697831631765,6.82453061592014,4.20787570670245,-2.0546783910122,2.98236859284498,-0.609088561951921,-1.41412450636653,0.0837296736422104,3.24954787936804,2.01157894262087,0.240463972473208,0.275070712889374,1.49206512829869,2.09782971628874,1.83823740416983,-2.09270314456489,3.26508281289944,-3.48814371353683,0.2087503761486,2.0489106484647,2.081329327606,-0.189054381589813,1.00119175668624,-1.92086764054329,-0.207364190518547,-1.58829815476292,0.87871457202391,-0.0310605127529016,-1.45079011716416,0.917223808867675
,8,1.31524347320192,-0.445293446503456,-0.959522943834145,-0.941031635533818,0.88943925999547,2.68925116523315,-0.510761043256025,-3.49029447197745,3.05841082219331,2.29193383824713,-1.13630353524877,-3.16965323415252,-0.992827481787117,1.77481662698801,4.76860213382633,1.77324902039845,3.50619223273452,-2.28662364064849,0.128294371140782,3.18239703665722,1.51171971627991,3.04359118320144,0.673804446218128,2.0044835253766,-1.05101509114593,1.15009664731497,0.250494560938932,0.994605140468138,-1.02216226153541,-0.180229469168808,-1.84764886012363,-0.0650498225536467,3.39997910898546,3.31495696316415,-2.24634926694807,-0.628479525818875,1.60128350908462,0.979237472592558,2.80876787825991,-0.194281691005017,3.1444022545852,0.111246304395081,2.00546252069989,1.54955058364567,-2.10131113134094,-3.66673909099427,1.609423798438,-3.88217036785136,-2.59105890539013,-2.18561171073043,-0.0816090558378164,-1.57768839466144,-2.02874377672742,-1.95279759527193,1.14151846225468,-1.08986935212533,-0.189797137605183,1.73849787956897,-2.80648187481029,-0.816499390950867,-5.23340066533774,-3.77009127212477,-4.9944030180518,-7.04666590633678,-3.8666900890712,-3.49840182313119,-2.45188239897425,-2.80943620412791,-0.518252995793318,-8.60928192927395,-3.00178413985986,-2.34138153777849,-6.14454062759114,-2.7034110419645,0.77198886565111,-1.7184034265174,0.213622796340587,3.15688069352791,1.18776694941334,3.26222769933429,-1.71342603737503,-2.46091612605551,3.39646051170894,-0.658113329105163,0.427050364196475,-2.31144082274704,1.3143736173879,-3.1711339976564,-0.635374087700257,-5.20298603963693,-2.18913384000325,-1.09611549453712,-0.452298820074247,-2.2435234020877,-0.142587143564469,0.0556799356595548
,9,-0.323158575418347,-2.8361344085256,-1.69816446766936,-0.309418268644549,-3.67161293520576,-2.33842947002177,-3.27078077721717,2.01412882794284,-1.28501558398784,1.70811648994913,-0.564759630804019,3.49398731608744,3.64137544712366,1.37333035821939,2.14389474675181,4.19176091439931,3.9049641083966,3.33247090017767,-0.0860739892641504,3.0685628278502,3.69264883598589,3.45350943853509,3.49968874556907,0.160285285193368,6.94930189756678,3.03101126838192,-0.408163555866849,0.29550456651441,-2.73213442841734,-2.08892458719629,0.136407074100589,1.00851922036554,-1.27668970553759,2.40744378784257,0.901077596125106,0.13634752556527,1.93278077736431,-0.504629848919194,-1.78322274433867,3.28937889968984,1.2134993253062,0.68465321460144,2.29061944127307,-1.72733928431262,-0.671136006694269,-1.47717908813183,0.0343401099025868,0.42462102509262,-0.581695561562356,0.543369571654694,-1.73396275854338,-5.99845298901573,-3.89430561584368,-2.0668741778436,1.00628168560934,0.755134156908298,-3.26457692048416,-6.88102132501626,-4.20930393486196,-0.93006976321567,-9.29020004333324,-7.7728987052833,-7.3549605351609,-7.16884539133343,-5.48346546692892,-2.36771878303352,-2.2837870722301,-7.44683643783037,-3.38468603036927,-1.17294472031517,-4.78685498901268,-2.89184048642119,-5.26017373215382,-5.0250968849964,-1.68326633630886,2.75815169720954,3.93350479189712,2.25338987363466,3.72592715660403,1.24091172811222,1.09041036478084,1.96059537917699,1.69533048100993,-1.46514077875599,0.0648943330638758,-1.11568091601885,-3.1967750037652,-0.123746362271049,-1.90095377307898,-0.313742141112471,0.985854052312789,1.94229415560676,-0.953710624422456,1.92348732582286,1.15078459327833,-2.59223938846571
,10,0.0357344904596175,1.45206154133894,-0.132302764723136,0.297762111171323,3.27060418352039,-0.32343270066076,4.56138425723702,2.78457064848544,0.847327721230158,0.755698164128717,2.08884030942045,1.85551177173829,-2.65594710377218,-0.564209622434191,0.409645671808903,-0.427256551654864,-1.18894636692221,3.08461089632783,2.70983643692989,0.952776330826964,0.849858183329616,1.56776781161898,2.47578112061183,-3.95207276072597,2.49683299460821,-3.85749266417679,0.917616107051344,-0.799582023140829,-1.08738656751348,1.52369105097068,-1.05809310316454,1.75294486577923,0.48815406654694,1.73544802710512,1.58259344974385,-1.25372707748738,3.04240696385432,2.69304565870925,1.01355901985835,4.12067180604708,1.46461121758421,3.55749711722592,-0.265108693520233,2.80803904520008,2.32923605773522,0.949901145181684,0.105621569512095,0.0773636801827706,2.10936258590027,-1.21698899957619,-1.42549714977622,-2.74396169379952,-2.46790363266018,-1.71524177567107,-3.54866959494802,-3.26969947551424,-2.16057976376214,-3.83386740122478,-6.7699970852118,-6.64764668726457,-8.86885101847565,-8.083419342247,-4.68421120043195,-5.25689122030735,-8.34298552362498,-4.22147700796995,-6.49564478492539,-2.85878831938453,-6.99325409957191,-8.74342040067722,-2.94440592143292,-4.19779698843104,-8.66074867993302,-2.55490523026356,3.68883854904334,0.732872204976047,1.02790282689102,1.02266342237726,2.1270871965562,2.84291137644641,0.218275492182784,1.47425847189061,2.83575559719793,0.577188759330056,3.05346237575213,-5.53723219337553,-1.65738188391742,-3.42959081146046,-3.02151637206089,-2.76213121040155,-1.63557903705487,1.07418753812681,0.219085050481681,-0.489507146977758,-1.97579076515103,-0.0711049200026537
