,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Unkn,,,28.3365742884057,28.3365742884057,0,NaN,NaN,NaN,0,58,
,A02,FAM,,Unkn,,,28.3197151626854,28.3197151626854,0,NaN,NaN,NaN,0,58,
,A03,FAM,,Unkn,,,28.3376076126152,28.3376076126152,0,NaN,NaN,NaN,0,58,
,A04,FAM,,Unkn,,,28.4681353405381,28.4681353405381,0,NaN,NaN,NaN,0,58,
,A05,FAM,,Unkn,,,28.4116187970571,28.4116187970571,0,NaN,NaN,NaN,0,58,
,A06,FAM,,Unkn,,,28.4712345405755,28.4712345405755,0,NaN,NaN,NaN,0,58,
,A07,FAM,,Unkn,,,28.263677978634,28.263677978634,0,NaN,NaN,NaN,0,58,
,A08,FAM,,Unkn,,,28.3868667595973,28.3868667595973,0,NaN,NaN,NaN,0,58,
,A09,FAM,,Unkn,,,28.4521706180988,28.4521706180988,0,NaN,NaN,NaN,0,58,
,A10,FAM,,Unkn,,,28.3443172095269,28.3443172095269,0,NaN,NaN,NaN,0,58,
,A11,FAM,,Unkn,,,28.3997882616701,28.3997882616701,0,NaN,NaN,NaN,0,58,
,A12,FAM,,Unkn,,,28.350375696939,28.350375696939,0,NaN,NaN,NaN,0,58,
,B01,FAM,,Unkn,,,28.2237493097654,28.2237493097654,0,NaN,NaN,NaN,0,58,
,B02,FAM,,Unkn,,,28.2694219686582,28.2694219686582,0,NaN,NaN,NaN,0,58,
,B03,FAM,,Unkn,,,28.3356301519496,28.3356301519496,0,NaN,NaN,NaN,0,58,
,B04,FAM,,Unkn,,,28.2703558572947,28.2703558572947,0,NaN,NaN,NaN,0,58,
,B05,FAM,,Unkn,,,28.2499155434401,28.2499155434401,0,NaN,NaN,NaN,0,58,
,B06,FAM,,Unkn,,,28.3177456387476,28.3177456387476,0,NaN,NaN,NaN,0,58,
,B07,FAM,,Unkn,,,28.1871623285646,28.1871623285646,0,NaN,NaN,NaN,0,58,
,B08,FAM,,Unkn,,,28.103938582416,28.103938582416,0,NaN,NaN,NaN,0,58,
,B09,FAM,,Unkn,,,28.1457999332293,28.1457999332293,0,NaN,NaN,NaN,0,58,
,B10,FAM,,Unkn,,,28.1328236835046,28.1328236835046,0,NaN,NaN,NaN,0,58,
,B11,FAM,,Unkn,,,28.3225122181908,28.3225122181908,0,NaN,NaN,NaN,0,58,
,B12,FAM,,Unkn,,,28.259581417013,28.259581417013,0,NaN,NaN,NaN,0,58,
,C01,FAM,,Unkn,,,28.1468482563866,28.1468482563866,0,NaN,NaN,NaN,0,58,
,C02,FAM,,Unkn,,,28.127371293581,28.127371293581,0,NaN,NaN,NaN,0,58,
,C03,FAM,,Unkn,,,28.1667175429934,28.1667175429934,0,NaN,NaN,NaN,0,58,
,C04,FAM,,Unkn,,,28.3571587073823,28.3571587073823,0,NaN,NaN,NaN,0,58,
,C05,FAM,,Unkn,,,28.2358068423657,28.2358068423657,0,NaN,NaN,NaN,0,58,
,C06,FAM,,Unkn,,,29.1548830591444,29.1548830591444,0,NaN,NaN,NaN,0,58,
,C07,FAM,,Unkn,,,28.3367744106502,28.3367744106502,0,NaN,NaN,NaN,0,58,
,C08,FAM,,Unkn,,,28.2470507324244,28.2470507324244,0,NaN,NaN,NaN,0,58,
,C09,FAM,,Unkn,,,28.4027579175787,28.4027579175787,0,NaN,NaN,NaN,0,58,
,C10,FAM,,Unkn,,,28.3618617833532,28.3618617833532,0,NaN,NaN,NaN,0,58,
,C11,FAM,,Unkn,,,28.2810538770249,28.2810538770249,0,NaN,NaN,NaN,0,58,
,C12,FAM,,Unkn,,,28.2467138176282,28.2467138176282,0,NaN,NaN,NaN,0,58,
,D01,FAM,,Unkn,,,28.2440762941234,28.2440762941234,0,NaN,NaN,NaN,0,58,
,D02,FAM,,Unkn,,,28.1601164830474,28.1601164830474,0,NaN,NaN,NaN,0,58,
,D03,FAM,,Unkn,,,28.2222236562726,28.2222236562726,0,NaN,NaN,NaN,0,58,
,D04,FAM,,Unkn,,,28.2270959030169,28.2270959030169,0,NaN,NaN,NaN,0,58,
,D05,FAM,,Unkn,,,28.243767311749,28.243767311749,0,NaN,NaN,NaN,0,58,
,D06,FAM,,Unkn,,,28.3226066852408,28.3226066852408,0,NaN,NaN,NaN,0,58,
,D07,FAM,,Unkn,,,28.4328410014693,28.4328410014693,0,NaN,NaN,NaN,0,58,
,D08,FAM,,Unkn,,,28.4016882752271,28.4016882752271,0,NaN,NaN,NaN,0,58,
,D09,FAM,,Unkn,,,28.4510611779367,28.4510611779367,0,NaN,NaN,NaN,0,58,
,D10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E01,FAM,,Unkn,,,34.1124445045366,34.1124445045366,0,NaN,NaN,NaN,0,58,
,E02,FAM,,Unkn,,,33.4857130185029,33.4857130185029,0,NaN,NaN,NaN,0,58,
,E03,FAM,,Unkn,,,33.3362429102764,33.3362429102764,0,NaN,NaN,NaN,0,58,
,E04,FAM,,Unkn,,,33.9263219999598,33.9263219999598,0,NaN,NaN,NaN,0,58,
,E05,FAM,,Unkn,,,33.6731798683237,33.6731798683237,0,NaN,NaN,NaN,0,58,
,E06,FAM,,Unkn,,,33.9300774695458,33.9300774695458,0,NaN,NaN,NaN,0,58,
,E07,FAM,,Unkn,,,33.5542798537237,33.5542798537237,0,NaN,NaN,NaN,0,58,
,E08,FAM,,Unkn,,,34.1101625529583,34.1101625529583,0,NaN,NaN,NaN,0,58,
,E09,FAM,,Unkn,,,34.0132520013384,34.0132520013384,0,NaN,NaN,NaN,0,58,
,E10,FAM,,Unkn,,,33.5641368889552,33.5641368889552,0,NaN,NaN,NaN,0,58,
,E11,FAM,,Unkn,,,34.1003138899432,34.1003138899432,0,NaN,NaN,NaN,0,58,
,E12,FAM,,Unkn,,,33.5244403859677,33.5244403859677,0,NaN,NaN,NaN,0,58,
,F01,FAM,,Unkn,,,33.9674690836476,33.9674690836476,0,NaN,NaN,NaN,0,58,
,F02,FAM,,Unkn,,,33.485739841244,33.485739841244,0,NaN,NaN,NaN,0,58,
,F03,FAM,,Unkn,,,33.6530212370046,33.6530212370046,0,NaN,NaN,NaN,0,58,
,F04,FAM,,Unkn,,,34.2462523811235,34.2462523811235,0,NaN,NaN,NaN,0,58,
,F05,FAM,,Unkn,,,33.3952830094803,33.3952830094803,0,NaN,NaN,NaN,0,58,
,F06,FAM,,Unkn,,,33.2363239368755,33.2363239368755,0,NaN,NaN,NaN,0,58,
,F07,FAM,,Unkn,,,34.0589551896002,34.0589551896002,0,NaN,NaN,NaN,0,58,
,F08,FAM,,Unkn,,,34.1731257318107,34.1731257318107,0,NaN,NaN,NaN,0,58,
,F09,FAM,,Unkn,,,33.6795273858676,33.6795273858676,0,NaN,NaN,NaN,0,58,
,F10,FAM,,Unkn,,,33.3611283455211,33.3611283455211,0,NaN,NaN,NaN,0,58,
,F11,FAM,,Unkn,,,33.8909204156605,33.8909204156605,0,NaN,NaN,NaN,0,58,
,F12,FAM,,Unkn,,,33.6689896883641,33.6689896883641,0,NaN,NaN,NaN,0,58,
,G01,FAM,,Unkn,,,33.2348976404068,33.2348976404068,0,NaN,NaN,NaN,0,58,
,G02,FAM,,Unkn,,,33.6977881446378,33.6977881446378,0,NaN,NaN,NaN,0,58,
,G03,FAM,,Unkn,,,33.7179946745175,33.7179946745175,0,NaN,NaN,NaN,0,58,
,G04,FAM,,Unkn,,,33.9857269452271,33.9857269452271,0,NaN,NaN,NaN,0,58,
,G05,FAM,,Unkn,,,33.5198204577245,33.5198204577245,0,NaN,NaN,NaN,0,58,
,G06,FAM,,Unkn,,,33.5729295102443,33.5729295102443,0,NaN,NaN,NaN,0,58,
,G07,FAM,,Unkn,,,33.3949431229996,33.3949431229996,0,NaN,NaN,NaN,0,58,
,G08,FAM,,Unkn,,,34.3005200453039,34.3005200453039,0,NaN,NaN,NaN,0,58,
,G09,FAM,,Unkn,,,33.767540240995,33.767540240995,0,NaN,NaN,NaN,0,58,
,G10,FAM,,Unkn,,,35.0560951503936,35.0560951503936,0,NaN,NaN,NaN,0,58,
,G11,FAM,,Unkn,,,34.808461702164,34.808461702164,0,NaN,NaN,NaN,0,58,
,G12,FAM,,Unkn,,,34.177517037834,34.177517037834,0,NaN,NaN,NaN,0,58,
,H01,FAM,,Unkn,,,34.8348000811922,34.8348000811922,0,NaN,NaN,NaN,0,58,
,H02,FAM,,Unkn,,,34.225119491856,34.225119491856,0,NaN,NaN,NaN,0,58,
,H03,FAM,,Unkn,,,34.7182360870699,34.7182360870699,0,NaN,NaN,NaN,0,58,
,H04,FAM,,Unkn,,,37.161662271368,37.161662271368,0,NaN,NaN,NaN,0,58,
,H05,FAM,,Unkn,,,37.8628466378879,37.8628466378879,0,NaN,NaN,NaN,0,58,
,H06,FAM,,Unkn,,,37.5251679293183,37.5251679293183,0,NaN,NaN,NaN,0,58,
,H07,FAM,,Unkn,,,43.5191921734027,43.5191921734027,0,NaN,NaN,NaN,0,58,
,H08,FAM,,Unkn,,,47.281957568754,47.281957568754,0,NaN,NaN,NaN,0,58,
,H09,FAM,,Unkn,,,46.1785812456361,46.1785812456361,0,NaN,NaN,NaN,0,58,
,H10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,H12,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A01,VIC,,Unkn,,,40.6310616767598,40.6310616767598,0,NaN,NaN,NaN,0,58,
,A02,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A03,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A04,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A05,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A06,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A07,VIC,,Unkn,,,41.6187756865335,41.6187756865335,0,NaN,NaN,NaN,0,58,
,A08,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A09,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A10,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A11,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,A12,VIC,,Unkn,,,40.523975758378,40.523975758378,0,NaN,NaN,NaN,0,58,
,B01,VIC,,Unkn,,,39.5343156327295,39.5343156327295,0,NaN,NaN,NaN,0,58,
,B02,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,B03,VIC,,Unkn,,,44.2327471956263,44.2327471956263,0,NaN,NaN,NaN,0,58,
,B04,VIC,,Unkn,,,39.3115613221966,39.3115613221966,0,NaN,NaN,NaN,0,58,
,B05,VIC,,Unkn,,,38.4403727260698,38.4403727260698,0,NaN,NaN,NaN,0,58,
,B06,VIC,,Unkn,,,44.2430114129208,44.2430114129208,0,NaN,NaN,NaN,0,58,
,B07,VIC,,Unkn,,,44.6017941049939,44.6017941049939,0,NaN,NaN,NaN,0,58,
,B08,VIC,,Unkn,,,38.4462202602373,38.4462202602373,0,NaN,NaN,NaN,0,58,
,B09,VIC,,Unkn,,,39.4415233641669,39.4415233641669,0,NaN,NaN,NaN,0,58,
,B10,VIC,,Unkn,,,36.6706966831981,36.6706966831981,0,NaN,NaN,NaN,0,58,
,B11,VIC,,Unkn,,,37.764132252064,37.764132252064,0,NaN,NaN,NaN,0,58,
,B12,VIC,,Unkn,,,36.4916540050716,36.4916540050716,0,NaN,NaN,NaN,0,58,
,C01,VIC,,Unkn,,,35.3170977314228,35.3170977314228,0,NaN,NaN,NaN,0,58,
,C02,VIC,,Unkn,,,33.7002090357858,33.7002090357858,0,NaN,NaN,NaN,0,58,
,C03,VIC,,Unkn,,,34.8027464006685,34.8027464006685,0,NaN,NaN,NaN,0,58,
,C04,VIC,,Unkn,,,33.0161137337153,33.0161137337153,0,NaN,NaN,NaN,0,58,
,C05,VIC,,Unkn,,,32.9490316546582,32.9490316546582,0,NaN,NaN,NaN,0,58,
,C06,VIC,,Unkn,,,32.4763452171893,32.4763452171893,0,NaN,NaN,NaN,0,58,
,C07,VIC,,Unkn,,,32.2663736630404,32.2663736630404,0,NaN,NaN,NaN,0,58,
,C08,VIC,,Unkn,,,31.1035731961041,31.1035731961041,0,NaN,NaN,NaN,0,58,
,C09,VIC,,Unkn,,,31.4943396779269,31.4943396779269,0,NaN,NaN,NaN,0,58,
,C10,VIC,,Unkn,,,30.3815253516487,30.3815253516487,0,NaN,NaN,NaN,0,58,
,C11,VIC,,Unkn,,,30.1976300471739,30.1976300471739,0,NaN,NaN,NaN,0,58,
,C12,VIC,,Unkn,,,30.435527007124,30.435527007124,0,NaN,NaN,NaN,0,58,
,D01,VIC,,Unkn,,,29.2604621449656,29.2604621449656,0,NaN,NaN,NaN,0,58,
,D02,VIC,,Unkn,,,29.2464473160933,29.2464473160933,0,NaN,NaN,NaN,0,58,
,D03,VIC,,Unkn,,,29.1872181251301,29.1872181251301,0,NaN,NaN,NaN,0,58,
,D04,VIC,,Unkn,,,27.0511168779605,27.0511168779605,0,NaN,NaN,NaN,0,58,
,D05,VIC,,Unkn,,,27.197856093249,27.197856093249,0,NaN,NaN,NaN,0,58,
,D06,VIC,,Unkn,,,27.2492773028269,27.2492773028269,0,NaN,NaN,NaN,0,58,
,D07,VIC,,Unkn,,,24.8817387884761,24.8817387884761,0,NaN,NaN,NaN,0,58,
,D08,VIC,,Unkn,,,24.8550850580238,24.8550850580238,0,NaN,NaN,NaN,0,58,
,D09,VIC,,Unkn,,,24.9611617512668,24.9611617512668,0,NaN,NaN,NaN,0,58,
,D10,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D11,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,D12,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E01,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E02,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E03,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E04,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E05,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E06,VIC,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,E07,VIC,,Unkn,,,36.8125721774303,36.8125721774303,0,NaN,NaN,NaN,0,58,
