,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A09,FAM,,Unkn,,,19.2146556643746,19.2146556643746,0,NaN,NaN,NaN,0,58,
,A10,FAM,,Unkn,,,19.3682048980615,19.3682048980615,0,NaN,NaN,NaN,0,58,
,A11,FAM,,Unkn,,,19.1123429538678,19.1123429538678,0,NaN,NaN,NaN,0,58,
,A12,FAM,,Unkn,,,19.1275581685718,19.1275581685718,0,NaN,NaN,NaN,0,58,
,B01,FAM,,Unkn,,,18.8508084562136,18.8508084562136,0,NaN,NaN,NaN,0,58,
,B02,FAM,,Unkn,,,18.7951939939069,18.7951939939069,0,NaN,NaN,NaN,0,58,
,B03,FAM,,Unkn,,,18.663325218134,18.663325218134,0,NaN,NaN,NaN,0,58,
,B04,FAM,,Unkn,,,18.7172826477097,18.7172826477097,0,NaN,NaN,NaN,0,58,
,B05,FAM,,Unkn,,,18.6918141081582,18.6918141081582,0,NaN,NaN,NaN,0,58,
,B06,FAM,,Unkn,,,18.7624180990078,18.7624180990078,0,NaN,NaN,NaN,0,58,
,B07,FAM,,Unkn,,,22.3915893769006,22.3915893769006,0,NaN,NaN,NaN,0,58,
,B08,FAM,,Unkn,,,22.5287660991483,22.5287660991483,0,NaN,NaN,NaN,0,58,
,B09,FAM,,Unkn,,,22.5232806814816,22.5232806814816,0,NaN,NaN,NaN,0,58,
,B10,FAM,,Unkn,,,22.2623758636372,22.2623758636372,0,NaN,NaN,NaN,0,58,
,B11,FAM,,Unkn,,,22.0677704024111,22.0677704024111,0,NaN,NaN,NaN,0,58,
,B12,FAM,,Unkn,,,23.1151538610196,23.1151538610196,0,NaN,NaN,NaN,0,58,
,C01,FAM,,Unkn,,,22.6369862939078,22.6369862939078,0,NaN,NaN,NaN,0,58,
,C02,FAM,,Unkn,,,21.7750130571796,21.7750130571796,0,NaN,NaN,NaN,0,58,
,C03,FAM,,Unkn,,,21.4885274645259,21.4885274645259,0,NaN,NaN,NaN,0,58,
,C04,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C05,FAM,,Unkn,,,42.8786799695852,42.8786799695852,0,NaN,NaN,NaN,0,58,
,C06,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C07,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C08,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C09,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C10,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C11,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,58,
,C12,FAM,,Unkn,,,44.1384969469131,44.1384969469131,0,NaN,NaN,NaN,0,58,
