Wells,Condition
A1-7,0 CLBV amplicons added
B1-7,0.1 CLBV amplicons added
C1-7,10 CLBV amplicons added
D1-7,1000 CLBV amplicons added
E1-7,100000 CLBV amplicons added
F1-7,1000000000 CLBV amplicons added
